Initial Call Types,Priority
SHOPLIFT - THEFT,2
SHOTS HEARD - DELAY,2
SUICIDE - CRITICAL,2
SUICIDE - SUICIDAL PERSON AND ATTEMPTS,2
SUSPICIOUS PACKAGE,2
"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT",2
TEST CALL ONLY,2
THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),2
THEFT OF SERVICES,2
THREATS - DV - NO ASSAULT,2
THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING),2
TRAFFIC - ASSIST MOTORIST,2
TRAFFIC - BLOCKING ROADWAY,2
TRAFFIC - BO SIGNALS AND DOWN SIGNS,2
TRAFFIC - MOVING VIOLATION,2
TRAFFIC - ROAD RAGE,2
"TREES DOWN, OBSTRUCTING PUBLIC PROP (NO HAZ)",2
TRESPASS,2
"TRU - ASLT - MOLESTED ADULT (GROPED, FONDLED, ETC)",2
TRU - AUTO THEFT,2
TRU - FOLLOW UP,2
TRU - MISSING ADULT,2
TRU - SHOPLIFT,2
UNKNOWN - ANI/ALI - LANDLINE (INCLUDES OPEN LINE),2
UNKNOWN - COMPLAINT OF UNKNOWN NATURE,2
"URINATING, DEFECATING IN PUBLIC",2
VICE - PROSTITUTION,2
WARRANT - FELONY PICKUP,2
WARRANT - MISD PICKUP,2
WARRANT - SEARCH. CAUTION (EXCL NARCOTICS),2
"WATER FLOODS (BROKEN MAINS/HYDRANTS, NO HAZ)",2
"WEAPN - GUN,DEADLY WPN (NO THRTS/ASLT/DIST)",2
"WIRES DOWN (PHONE, ELECTRICAL,ETC.)",2
