CAD Event Number,CAD Event Clearance Description,Call Type,Priority,Initial Call Type,Final Call Type,CAD Event Original Time Queued,CAD Event Arrived Time,Dispatch Precinct,Dispatch Sector,Dispatch Beat,Dispatch Longitude,Dispatch Latitude,Dispatch Reporting Area,CAD Event Response Category,Call Sign Dispatch ID,Call Sign Dispatch Time,First CARE Call Sign At Scene Time,First CARE Call Sign Dispatch Time,First Co-Response Call Sign At Scene Time,First Co-Response Call Sign Dispatch Time,First SPD Call Sign at Scene Time,First SPD Call Sign Dispatch Time,Last CARE Call Sign In-Service Time,Last Co-Response Call Sign In-Service Time,Last SPD Call Sign In-Service Time,CARE Call Sign Total Service Time (s),Co-Response Call Sign Total Service Time (s),SPD Call Sign Total Service Time (s),Call Sign Total Service Time (s),First CARE Call Sign Dispatch Delay Time (s),First CARE Call Sign Response Time (s),First Co-Response Call Sign Dispatch Delay Time (s),First Co-Response Call Sign Response Time (s),First SPD Call Sign Dispatch Delay Time (s),First SPD Call Sign Response Time (s),Call Sign Dispatch Delay Time (s),Call Sign Response Time (s),Call Sign at Scene Time,CAD Event First Response Time (s),Call Sign In-Service Time,Call Type Indicator,Dispatch Neighborhood,Call Type Received Classification
2025000001099,RESPONDING UNIT(S) CANCELLED BY RADIO,ONVIEW,9,OFF DUTY EMPLOYMENT,OFF DUTY EMPLOYMENT,01/02/2025 07:57:00 AM,01/02/2025 07:57:00 AM,EAST,EDWARD,E2,,,,SPD,2025000001099V9715,01/02/2025 07:57:00 AM,,,,,01/02/2025 07:57:00 AM,01/02/2025 07:57:00 AM,,,01/02/2025 04:04:41 PM,,,29261,29261,,,,,0,0,0,0,01/02/2025 07:57:00 AM,0,01/02/2025 04:04:41 PM,ONVIEW,-,OFFICER_GENERATED
2024000118691,ASSISTANCE RENDERED,ONVIEW,9,ASSIGNED DUTY - DETAIL BY SUPERVISOR,ASSIGNED DUTY - DETAIL BY SUPERVISOR,05/02/2024 05:54:56 AM,05/02/2024 05:54:56 AM,WEST,DAVID,D2,,,,SPD,2024000118691TRUC5,05/02/2024 05:54:56 AM,,,,,05/02/2024 05:54:56 AM,05/02/2024 05:54:56 AM,,,05/02/2024 02:26:42 PM,,,23462,23462,,,,,0,0,0,0,05/02/2024 05:54:56 AM,0,05/02/2024 02:26:42 PM,ONVIEW,-,OFFICER_GENERATED
2024000201044,ASSISTANCE RENDERED,ONVIEW,9,OUT TO PRECINCT/STATION,ASSIST OTHER AGENCY - STATE AGENCY,07/20/2024 07:02:06 PM,07/20/2024 07:02:06 PM,NORTH,NORA,N3,,,,SPD,20240002010442L2,07/20/2024 07:02:06 PM,,,,,07/20/2024 07:02:06 PM,07/20/2024 07:02:06 PM,,,07/20/2024 07:42:54 PM,,,2448,2448,,,,,0,0,0,0,07/20/2024 07:02:06 PM,0,07/20/2024 07:42:54 PM,ONVIEW,-,OFFICER_GENERATED
2024000185135,ASSISTANCE RENDERED,ONVIEW,9,ASSIGNED DUTY - DETAIL BY SUPERVISOR,ASSIGNED DUTY - DETAIL BY SUPERVISOR,07/06/2024 09:57:29 AM,07/06/2024 09:57:30 AM,SOUTH,SAM,S1,,,,SPD,2024000185135P85,07/06/2024 09:57:30 AM,,,,,07/06/2024 09:57:30 AM,07/06/2024 09:57:30 AM,,,07/06/2024 10:55:44 AM,,,3494,3494,,,,,1,1,1,1,07/06/2024 09:57:30 AM,1,07/06/2024 10:55:44 AM,ONVIEW,-,OFFICER_GENERATED
2024000187115,ASSISTANCE RENDERED,ONVIEW,9,"ASSIGNED DUTY - COMMUNITY,SCHOOL,SPECIAL EVENT","ASSIGNED DUTY - COMMUNITY,SCHOOL,SPECIAL EVENT",07/08/2024 09:29:20 AM,07/08/2024 09:29:20 AM,WEST,QUEEN,Q1,,,,SPD,2024000187115CSO31,07/08/2024 09:29:20 AM,,,,,07/08/2024 09:29:20 AM,07/08/2024 09:29:20 AM,,,07/08/2024 01:02:56 PM,,,12816,12816,,,,,0,0,0,0,07/08/2024 09:29:20 AM,0,07/08/2024 01:02:56 PM,ONVIEW,-,OFFICER_GENERATED
2025000023135,ASSISTANCE RENDERED,ONVIEW,9,OFF DUTY EMPLOYMENT,OFF DUTY EMPLOYMENT,01/25/2025 10:39:23 AM,01/25/2025 10:39:23 AM,WEST,QUEEN,Q3,,,,SPD,2025000023135V8742,01/25/2025 10:39:23 AM,,,,,01/25/2025 10:39:23 AM,01/25/2025 10:39:23 AM,,,01/25/2025 04:30:38 PM,,,21075,21075,,,,,0,0,0,0,01/25/2025 10:39:23 AM,0,01/25/2025 04:30:38 PM,ONVIEW,-,OFFICER_GENERATED
2025000032996,ASSISTANCE RENDERED,ONVIEW,9,"ASSIGNED DUTY - STATION DUTY (CLERK,MAIL,ETC)","ASSIGNED DUTY - STATION DUTY (CLERK,MAIL,ETC)",02/04/2025 10:22:28 PM,02/04/2025 10:22:28 PM,NORTH,NORA,N3,,,,SPD,20250000329963L09,02/04/2025 10:22:28 PM,,,,,02/04/2025 10:22:28 PM,02/04/2025 10:22:28 PM,,,02/04/2025 10:24:29 PM,,,121,121,,,,,0,0,0,0,02/04/2025 10:22:28 PM,0,02/04/2025 10:24:29 PM,ONVIEW,-,OFFICER_GENERATED
2024000214665,ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",9,PREPLANNED EVENT,"ASSIGNED DUTY - COMMUNITY,SCHOOL,SPECIAL EVENT",08/02/2024 07:18:17 AM,08/02/2024 07:40:00 AM,SOUTH,ROBERT,R3,,,,SPD,2024000214665Y95,08/02/2024 10:23:55 AM,,,,,08/02/2024 07:40:00 AM,08/02/2024 07:40:00 AM,,,08/02/2024 09:13:12 PM,,,3189673,38940,,,,,1303,1303,11138,14561,08/02/2024 11:20:58 AM,1303,08/02/2024 09:12:55 PM,DISPATCH,-,COMMUNITY_GENERATED
2024000223851,ASSISTANCE RENDERED,ONVIEW,9,ASSIGNED DUTY - HOSPITAL GUARD,DIRECTED PATROL ACTIVITY,08/10/2024 02:35:51 PM,08/10/2024 02:35:51 PM,EAST,GEORGE,G1,,,,SPD,20240002238512M01,08/10/2024 02:35:51 PM,,,,,08/10/2024 02:35:51 PM,08/10/2024 02:35:51 PM,,,08/10/2024 06:52:56 PM,,,15425,15425,,,,,0,0,0,0,08/10/2024 02:35:51 PM,0,08/10/2024 06:52:56 PM,ONVIEW,-,OFFICER_GENERATED
2024000231064,ASSISTANCE RENDERED,ONVIEW,9,"ASSIGNED DUTY - COMMUNITY,SCHOOL,SPECIAL EVENT",ASSIST OTHER AGENCY - CITY AGENCY,08/17/2024 08:36:20 AM,08/17/2024 08:36:20 AM,SOUTH,OCEAN,O1,,,,SPD,2024000231064V8568,08/17/2024 08:36:20 AM,,,,,08/17/2024 08:36:20 AM,08/17/2024 08:36:20 AM,,,08/17/2024 04:50:07 PM,,,29627,29627,,,,,0,0,0,0,08/17/2024 08:36:20 AM,0,08/17/2024 04:50:07 PM,ONVIEW,-,OFFICER_GENERATED
2025000047663,ASSISTANCE RENDERED,ONVIEW,9,OFF DUTY EMPLOYMENT,OFF DUTY EMPLOYMENT,02/20/2025 06:16:47 PM,02/20/2025 06:16:47 PM,WEST,MARY,M2,,,,SPD,2025000047663V8373,02/20/2025 06:16:47 PM,,,,,02/20/2025 06:16:47 PM,02/20/2025 06:16:47 PM,,,02/20/2025 10:40:56 PM,,,15849,15849,,,,,0,0,0,0,02/20/2025 06:16:47 PM,0,02/20/2025 10:40:56 PM,ONVIEW,-,OFFICER_GENERATED
2024000275309,ASSISTANCE RENDERED,ONVIEW,9,OFF DUTY EMPLOYMENT,OFF DUTY EMPLOYMENT,09/27/2024 04:11:50 PM,09/27/2024 04:11:50 PM,WEST,QUEEN,Q3,,,,SPD,2024000275309V8651,09/27/2024 04:11:50 PM,,,,,09/27/2024 04:11:50 PM,09/27/2024 04:11:50 PM,,,09/28/2024 12:01:52 AM,,,28202,28202,,,,,0,0,0,0,09/27/2024 04:11:50 PM,0,09/28/2024 12:01:52 AM,ONVIEW,-,OFFICER_GENERATED
2025000066426,FOLLOW-UP REPORT MADE,ONVIEW,9,ASSIGNED DUTY - HOSPITAL GUARD,DV - ENFORCE COURT ORDER (ARREST MANDATED),03/12/2025 04:35:47 AM,03/12/2025 04:35:47 AM,EAST,GEORGE,G1,,,,SPD,20250000664261M3,03/12/2025 06:46:18 AM,,,,,03/12/2025 04:35:47 AM,03/12/2025 04:35:47 AM,,,03/12/2025 02:58:36 PM,,,53478,13333,,,,,0,0,7831,8724,03/12/2025 07:01:11 AM,0,03/12/2025 10:28:31 AM,ONVIEW,-,OFFICER_GENERATED
2024000321306,ASSISTANCE RENDERED,ONVIEW,9,OUT TO PRECINCT/STATION,OUT TO PRECINCT/STATION,11/13/2024 04:49:13 AM,11/13/2024 04:49:13 AM,SOUTH,SAM,S1,,,,SPD,20240003213061R31,11/13/2024 04:49:13 AM,,,,,11/13/2024 04:49:13 AM,11/13/2024 04:49:13 AM,,,11/13/2024 05:04:44 AM,,,931,931,,,,,0,0,0,0,11/13/2024 04:49:13 AM,0,11/13/2024 05:04:44 AM,ONVIEW,-,OFFICER_GENERATED
2024000141832,ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",9,PREPLANNED EVENT,ASSIGNED DUTY - SEATTLE CENTER EVENT,05/25/2024 08:54:47 AM,05/25/2024 08:54:53 AM,WEST,QUEEN,Q3,,,,SPD,2024000141832Z13,05/25/2024 10:48:35 AM,,,,,05/25/2024 08:54:53 AM,05/25/2024 08:54:53 AM,,,05/25/2024 10:29:15 PM,,,763257,41852,,,,,6,6,6828,6828,05/25/2024 10:48:35 AM,6,05/25/2024 10:26:07 PM,DISPATCH,-,COMMUNITY_GENERATED
2025000001661,ASSISTANCE RENDERED,ONVIEW,9,"ASSIGNED DUTY - STATION DUTY (CLERK,MAIL,ETC)","ASSIGNED DUTY - STATION DUTY (CLERK,MAIL,ETC)",01/02/2025 07:43:50 PM,01/02/2025 07:43:50 PM,NORTH,NORA,N3,,,,SPD,20250000016613L09,01/02/2025 07:43:50 PM,,,,,01/02/2025 07:43:50 PM,01/02/2025 07:43:50 PM,,,01/02/2025 07:50:03 PM,,,373,373,,,,,0,0,0,0,01/02/2025 07:43:50 PM,0,01/02/2025 07:50:03 PM,ONVIEW,-,OFFICER_GENERATED
2025000016380,ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",9,PREPLANNED EVENT,CROWD MGMNT (STAND BY ONLY),01/18/2025 07:03:32 AM,01/18/2025 07:06:16 AM,EAST,EDWARD,E2,,,,SPD,2025000016380POET2,01/18/2025 09:05:01 AM,,,,,01/18/2025 07:06:16 AM,01/18/2025 07:06:16 AM,,,01/18/2025 01:14:15 PM,,,198596,14778,,,,,164,164,7289,7289,01/18/2025 09:05:01 AM,164,01/18/2025 01:11:19 PM,DISPATCH,-,COMMUNITY_GENERATED
2024000278106,ASSISTANCE RENDERED,ONVIEW,9,ASSIGNED DUTY - FOOT BEAT (FROM ASSIGNED CAR),"SUSPICIOUS CIRCUM. - BUILDING (OPEN DOOR, ETC)",09/30/2024 01:44:31 PM,09/30/2024 01:44:31 PM,WEST,KING,K3,,,,SPD,20240002781062M11,09/30/2024 01:44:31 PM,,,,,09/30/2024 01:44:31 PM,09/30/2024 01:44:31 PM,,,09/30/2024 08:39:51 PM,,,2392,2392,,,,,0,0,0,0,09/30/2024 01:44:31 PM,0,09/30/2024 08:39:51 PM,ONVIEW,CHINATOWN/INTERNATIONAL DISTRICT,OFFICER_GENERATED
2024000323096,ASSISTANCE RENDERED,ONVIEW,9,"ASSIGNED DUTY - STATION DUTY (CLERK,MAIL,ETC)","ASSIGNED DUTY - STATION DUTY (CLERK,MAIL,ETC)",11/14/2024 08:06:55 PM,11/14/2024 08:06:55 PM,NORTH,NORA,N3,,,,SPD,20240003230963L09,11/14/2024 08:06:55 PM,,,,,11/14/2024 08:06:55 PM,11/14/2024 08:06:55 PM,,,11/14/2024 08:07:42 PM,,,47,47,,,,,0,0,0,0,11/14/2024 08:06:55 PM,0,11/14/2024 08:07:42 PM,ONVIEW,-,OFFICER_GENERATED
2024000324590,ASSISTANCE RENDERED,ONVIEW,9,OFF DUTY EMPLOYMENT,OFF DUTY EMPLOYMENT,11/16/2024 11:11:17 AM,11/16/2024 11:11:17 AM,WEST,KING,K2,,,,SPD,2024000324590V7327,11/16/2024 11:11:17 AM,,,,,11/16/2024 11:11:17 AM,11/16/2024 11:11:17 AM,,,11/16/2024 06:04:50 PM,,,24813,24813,,,,,0,0,0,0,11/16/2024 11:11:17 AM,0,11/16/2024 06:04:50 PM,ONVIEW,-,OFFICER_GENERATED
2025000076747,ASSISTANCE RENDERED,ONVIEW,9,"ASSIGNED DUTY - COMMUNITY,SCHOOL,SPECIAL EVENT","ASSIGNED DUTY - COMMUNITY,SCHOOL,SPECIAL EVENT",03/22/2025 11:56:44 AM,03/22/2025 11:56:44 AM,SOUTH,ROBERT,R3,,,,SPD,2025000076747CSO2,03/22/2025 11:56:44 AM,,,,,03/22/2025 11:56:44 AM,03/22/2025 11:56:44 AM,,,03/22/2025 02:08:47 PM,,,7923,7923,,,,,0,0,0,0,03/22/2025 11:56:44 AM,0,03/22/2025 02:08:47 PM,ONVIEW,-,OFFICER_GENERATED
2025000096661,ASSISTANCE RENDERED,ONVIEW,9,ASSIGNED DUTY - SEATTLE CENTER EVENT,ASSIGNED DUTY - SEATTLE CENTER EVENT,04/11/2025 01:18:21 PM,04/11/2025 01:18:21 PM,WEST,QUEEN,Q3,,,,SPD,2025000096661P311,04/11/2025 01:18:21 PM,,,,,04/11/2025 01:18:21 PM,04/11/2025 01:18:21 PM,,,04/12/2025 05:40:38 AM,,,87059,58937,,,,,0,0,0,0,04/11/2025 01:18:21 PM,0,04/12/2025 05:40:38 AM,ONVIEW,-,OFFICER_GENERATED
2024000192986,ASSISTANCE RENDERED,ONVIEW,9,ASSIGNED DUTY - DETAIL BY SUPERVISOR,ASSIGNED DUTY - DETAIL BY SUPERVISOR,07/13/2024 02:36:00 PM,07/13/2024 02:36:00 PM,WEST,KING,K3,,,,SPD,20240001929862G31,07/13/2024 02:36:00 PM,,,,,07/13/2024 02:36:00 PM,07/13/2024 02:36:00 PM,,,07/13/2024 05:31:52 PM,,,10552,10552,,,,,0,0,0,0,07/13/2024 02:36:00 PM,0,07/13/2024 05:31:52 PM,ONVIEW,-,OFFICER_GENERATED
2024000199758,ASSISTANCE RENDERED,ONVIEW,9,PRISONER ESCORT - BUSY CODE,ASSIST OTHER AGENCY - CITY AGENCY,07/19/2024 02:35:56 PM,07/19/2024 02:35:56 PM,WEST,KING,K1,,,,SPD,20240001997582Q3,07/19/2024 02:35:56 PM,,,,,07/19/2024 02:35:56 PM,07/19/2024 02:35:56 PM,,,07/19/2024 03:27:27 PM,,,2763,2763,,,,,0,0,0,0,07/19/2024 02:35:56 PM,0,07/19/2024 03:27:27 PM,ONVIEW,-,OFFICER_GENERATED
2024000220021,ASSISTANCE RENDERED,ONVIEW,9,ASSIGNED DUTY - DETAIL BY SUPERVISOR,ASSIGNED DUTY - DETAIL BY SUPERVISOR,08/07/2024 06:04:37 AM,08/07/2024 06:04:37 AM,WEST,DAVID,D2,,,,SPD,2024000220021TRUC5,08/07/2024 06:04:37 AM,,,,,08/07/2024 06:04:37 AM,08/07/2024 06:04:37 AM,,,08/07/2024 06:15:37 PM,,,30347,30347,,,,,0,0,0,0,08/07/2024 06:04:37 AM,0,08/07/2024 06:15:37 PM,ONVIEW,-,OFFICER_GENERATED
2024000177803,ASSISTANCE RENDERED,ONVIEW,9,OUT TO PRECINCT/STATION,OUT TO PRECINCT/STATION,06/29/2024 06:55:42 PM,06/29/2024 06:55:42 PM,SOUTHWEST,FRANK,F1,,,,SPD,20240001778033F,06/29/2024 06:55:42 PM,,,,,06/29/2024 06:55:42 PM,06/29/2024 06:55:42 PM,,,06/29/2024 07:28:44 PM,,,1982,1982,,,,,0,0,0,0,06/29/2024 06:55:42 PM,0,06/29/2024 07:28:44 PM,ONVIEW,-,OFFICER_GENERATED
2024000285228,ASSISTANCE RENDERED,ONVIEW,9,ASSIGNED DUTY - OTHER ESCORT,ASSIGNED DUTY - OTHER ESCORT,10/07/2024 06:31:04 PM,10/07/2024 06:31:04 PM,UNKNOWN,,CTY,,,,SPD,2024000285228364,10/07/2024 06:31:04 PM,,,,,10/07/2024 06:31:04 PM,10/07/2024 06:31:04 PM,,,10/07/2024 10:32:32 PM,,,14488,14488,,,,,0,0,0,0,10/07/2024 06:31:04 PM,0,10/07/2024 10:32:32 PM,ONVIEW,-,OFFICER_GENERATED
2024000306420,TRANSPORT ESCORT,ONVIEW,9,"ASSIGNED DUTY - TRANSPORT EVIDENCE,EQUIPMENT","ASSIGNED DUTY - TRANSPORT EVIDENCE,EQUIPMENT",10/28/2024 09:19:42 PM,10/28/2024 09:19:42 PM,WEST,KING,K1,,,,SPD,20240003064203L09,10/28/2024 09:19:42 PM,,,,,10/28/2024 09:19:42 PM,10/28/2024 09:19:42 PM,,,10/28/2024 10:20:11 PM,,,3629,3629,,,,,0,0,0,0,10/28/2024 09:19:42 PM,0,10/28/2024 10:20:11 PM,ONVIEW,-,OFFICER_GENERATED
2024000123285,ASSISTANCE RENDERED,ONVIEW,9,ASSIGNED DUTY - MEET W/ SUPERVISOR (OUT OF SVC),ASSIGNED DUTY - MEET W/ SUPERVISOR (OUT OF SVC),05/06/2024 06:58:11 PM,05/06/2024 06:58:11 PM,SOUTHWEST,FRANK,F1,,,,SPD,20240001232853F22,05/06/2024 06:58:11 PM,,,,,05/06/2024 06:58:11 PM,05/06/2024 06:58:11 PM,,,05/06/2024 07:28:23 PM,,,1812,1812,,,,,0,0,0,0,05/06/2024 06:58:11 PM,0,05/06/2024 07:28:23 PM,ONVIEW,-,OFFICER_GENERATED
2024000178332,ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",9,PREPLANNED EVENT,CROWD MGMNT (STAND BY ONLY),06/30/2024 07:12:23 AM,06/30/2024 09:05:18 AM,WEST,MARY,M3,,,,SPD,2024000178332CAR35,06/30/2024 09:43:21 AM,,,,,06/30/2024 09:05:18 AM,06/30/2024 08:56:35 AM,,,06/30/2024 05:56:08 PM,,,604381,29565,,,,,6252,6775,9058,9058,06/30/2024 09:43:21 AM,6775,06/30/2024 05:56:06 PM,DISPATCH,-,COMMUNITY_GENERATED
2024000181977,ASSISTANCE RENDERED,ONVIEW,9,STADIUM EVENT ASSIGNMENT,TRAFFIC - TRAFFIC CONTROL (SPECIAL EVENTS),07/03/2024 04:42:45 PM,07/03/2024 04:42:45 PM,WEST,KING,K2,,,,SPD,2024000181977T2,07/03/2024 04:42:45 PM,,,,,07/03/2024 04:42:45 PM,07/03/2024 04:42:45 PM,,,07/03/2024 11:39:43 PM,,,23392,23392,,,,,0,0,0,0,07/03/2024 04:42:45 PM,0,07/03/2024 11:39:43 PM,ONVIEW,-,OFFICER_GENERATED
2024000185312,ASSISTANCE RENDERED,ONVIEW,9,ASSIGNED DUTY - CENTURYLINK STADIUM,ASSIGNED DUTY - CENTURYLINK STADIUM,07/06/2024 01:42:31 PM,07/06/2024 01:42:31 PM,WEST,KING,K2,,,,SPD,2024000185312364,07/06/2024 01:42:31 PM,,,,,07/06/2024 01:42:31 PM,07/06/2024 01:42:31 PM,,,07/07/2024 05:06:27 AM,,,55276,55276,,,,,0,0,0,0,07/06/2024 01:42:31 PM,0,07/07/2024 05:06:27 AM,ONVIEW,-,OFFICER_GENERATED
2025000047194,ASSISTANCE RENDERED,ONVIEW,9,"ASSIGNED DUTY - COMMUNITY,SCHOOL,SPECIAL EVENT","ASSIGNED DUTY - COMMUNITY,SCHOOL,SPECIAL EVENT",02/20/2025 10:23:31 AM,02/20/2025 10:23:31 AM,EAST,GEORGE,G2,,,,SPD,2025000047194CSO21,02/20/2025 10:23:31 AM,,,,,02/20/2025 10:23:31 AM,02/20/2025 10:23:31 AM,,,02/20/2025 12:06:17 PM,,,12332,12332,,,,,0,0,0,0,02/20/2025 10:23:31 AM,0,02/20/2025 12:06:17 PM,ONVIEW,-,OFFICER_GENERATED
2024000200789,ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",9,PREPLANNED EVENT,ASSIGNED DUTY - CENTURYLINK STADIUM,07/20/2024 01:33:15 PM,07/20/2024 01:33:19 PM,EAST,EDWARD,E2,,,,SPD,2024000200789Z1,07/20/2024 03:03:24 PM,,,,,07/20/2024 01:33:19 PM,07/20/2024 01:33:19 PM,,,07/21/2024 03:56:23 AM,,,162553,46350,,,,,4,4,5409,5409,07/20/2024 03:03:24 PM,4,07/21/2024 03:55:54 AM,DISPATCH,-,COMMUNITY_GENERATED
